# Enhanced TOEFL Vocabulary Import File
# Generated by Claude Code Enhanced Anki Processor
#separator:tab
#html:true
#notetype:Enhanced TOEFL Vocabulary
#deck:toefl3800-rank3-enhanced
#guid column:1
#tags column:6
# Field mapping: GUID  < /dev/null |  Word | Definition | Examples | Etymology | Tags
# Enhanced TOEFL Vocabulary Import File
# Generated by Claude Code Enhanced Anki Processor
#separator:tab
#html:true
#notetype:Enhanced TOEFL Vocabulary
#deck:toefl3800-enhanced-test
#guid column:1
#tags column:6
# Field mapping: GUID | Word | Definition | Examples | Etymology | Tags
rOl.*)J=yE	<div class="word">ambush</div>	<div class='definition'><strong>待ち伏せ攻撃、奇襲、伏兵攻撃</strong></div>	<div class="examples">1. The rebels set up an ambush along the mountain road.<br>2. Police officers were killed in a terrorist ambush.<br>3. The predator waited in ambush for unsuspecting prey.</div>	<div class="etymology">語源：古フランス語「embuscher」（茂みに隠れる）から派生<br>「em-（中に）+ busch（茂み）」→茂みの中に隠れて待ち伏せする<br>military terminology として覚えると、warfare関連語彙と関連付けやすい</div>	claude-generated toefl rank3 enhanced
d4.[idC}$v	<div class="word">bountiful</div>	<div class='definition'><strong>豊富な、物惜しみしない、気前の良い</strong></div>	<div class="examples">1. The harvest was bountiful this year.<br>2. She received bountiful praise for her performance.<br>3. The garden produced a bountiful supply of vegetables.</div>	<div class="etymology">語源：古フランス語「bonté」（善良さ）から派生<br>「bounty（恵み、報奨金）+ -ful（〜に満ちた）」<br>abundance, plentiful などの類義語と関連付けて覚える</div>	claude-generated toefl rank3 enhanced
ANm;B)k5X^	<div class="word">inhale</div>	<div class='definition'><strong>吸い込む、吸入する</strong></div>	<div class="examples">1. Please inhale deeply and hold your breath.<br>2. The patient needs to inhale the medication through this device.<br>3. Don't inhale the fumes from the chemical.</div>	<div class="etymology">語源：ラテン語「inhalare」<br>「in-（中に）+ halare（息する）」→中に息を吸う<br>対義語：exhale（吐き出す）とペアで覚えると効果的</div>	claude-generated toefl rank3 enhanced
GRx*;KIkwN	<div class="word">crane</div>	<div class='definition'><strong>クレーン、鶴、首を伸ばす</strong></div>	<div class="examples">1. The construction crane lifted heavy materials to the top floor.<br>2. A white crane stood gracefully by the lake.<br>3. She had to crane her neck to see over the crowd.</div>	<div class="etymology">語源：古英語「cran」（鶴）から<br>鶴の首が長く伸びることから「首を伸ばす」動詞にも<br>建設機械のクレーンも鶴の首の動きに似ているため同じ名前</div>	claude-generated toefl rank3 enhanced
F+<[o/40r:	<div class="word">inflame</div>	<div class='definition'><strong>炎症を起こす、怒らせる、激化させる</strong></div>	<div class="examples">1. The controversial statement inflamed public opinion.<br>2. Certain foods can inflame arthritis symptoms.<br>3. His harsh criticism only served to inflame the situation.</div>	<div class="etymology">語源：ラテン語「inflammare」<br>「in-（中に）+ flammare（燃やす）」<br>文字通り「燃やす」から「炎症」「怒り」の意味に発展</div>	claude-generated toefl rank3 enhanced
p`TYNX!b!7	<div class="word">predecessor</div>	<div class='definition'><strong>前任者、先代、前身</strong></div>	<div class="examples">1. The new CEO learned from his predecessor's mistakes.<br>2. This smartphone is faster than its predecessor.<br>3. She inherited several projects from her predecessor.</div>	<div class="etymology">語源：ラテン語「praedecessor」（先に去った人）<br>「prae-（前に）+ decedere（去る）」で「先に職を離れた人」</div>	claude-generated toefl rank3 enhanced
KMQb9aA4C+	<div class="word">meager</div>	<div class='definition'><strong>乏しい、貧弱な、やせた</strong></div>	<div class="examples">1. The refugees survived on meager rations.<br>2. Despite his meager salary, he managed to save money.<br>3. The evidence against him was meager at best.</div>	<div class="etymology">語源：古フランス語「maigre」（やせた）<br>「肉付きが悪い」→「量が少ない」の意味に<br>mega-（大きい）の反対として覚えると効果的</div>	claude-generated toefl rank3 enhanced
"J1*o:?#QF^"	<div class="word">alternative</div>	<div class='definition'><strong>代替の、二者択一の、代案</strong></div>	<div class="examples">1. Solar energy provides an alternative to fossil fuels.<br>2. If the flight is canceled, what's the alternative?<br>3. She chose alternative medicine over traditional treatment.</div>	<div class="etymology">語源：ラテン語「alternare」（交互に行う）<br>「alter（他の）+ -native（性質）」<br>二つの選択肢を交互に検討する状況から</div>	claude-generated toefl rank3 enhanced
oa5c2B=JV{	<div class="word">tripe</div>	<div class='definition'><strong>胃袋、内臓、くだらないもの</strong></div>	<div class="examples">1. The restaurant served traditional tripe soup.<br>2. He dismissed the movie as complete tripe.<br>3. Don't waste your time reading that tripe.</div>	<div class="etymology">語源：古フランス語「tripe」（動物の胃）<br>「くだらないもの」の意味は胃袋の不快なイメージから<br>「trash」「trivial」との関連で覚えると効果的</div>	claude-generated toefl rank3 enhanced
yu*.K`F/Qx	<div class="word">prawn</div>	<div class='definition'><strong>大エビ、クルマエビ</strong></div>	<div class="examples">1. The chef prepared grilled prawns with garlic butter.<br>2. Tiger prawns are particularly popular in Asian cuisine.<br>3. We caught fresh prawns during our fishing trip.</div>	<div class="etymology">語源：中世英語「prane」（カニに似た生物）<br>shrimp（小エビ）とは区別される大型のエビ<br>「crustacean（甲殻類）」ファミリーで記憶</div>	claude-generated toefl rank3 enhanced
iX3,LQ~Xxr	<div class="word">offset</div>	<div class='definition'><strong>相殺する、オフセット、埋め合わせる</strong></div>	<div class="examples">1. The company planted trees to offset their carbon emissions.<br>2. Higher taxes offset the benefits of the pay raise.<br>3. We need to offset these losses with increased sales.</div>	<div class="etymology">語源：「off（離れて）+ set（置く）」<br>元は印刷用語で「ずらして置く」意味<br>会計では「帳消しにする」、環境では「相殺する」に発展</div>	claude-generated toefl rank3 enhanced
kQ1PncY4,n	<div class="word">tan</div>	<div class='definition'><strong>日焼け、褐色、なめす</strong></div>	<div class="examples">1. She got a beautiful tan during her vacation in Hawaii.<br>2. The leather was carefully tanned using traditional methods.<br>3. His face had a tan from working outdoors all summer.</div>	<div class="etymology">語源：古英語「tannian」（なめす）<br>樹皮のタンニンで革をなめすことから<br>「太陽で肌をなめす」→「日焼け」の意味に発展</div>	claude-generated toefl rank3 enhanced
wtx7X;-{~~	<div class="word">temperate</div>	<div class='definition'><strong>温帯の、節制した、穏やかな</strong></div>	<div class="examples">1. The temperate climate is ideal for growing wine grapes.<br>2. He maintained a temperate attitude despite the provocation.<br>3. Temperate zones experience four distinct seasons.</div>	<div class="etymology">語源：ラテン語「temperatus」（調和の取れた）<br>「temper（調節する）+ -ate（〜の性質）」<br>temperature（温度）と同じ語根で気候・性格両方に使用</div>	claude-generated toefl rank3 enhanced
u}LBbDUxT=	<div class="word">outcome</div>	<div class='definition'><strong>結果、成果、帰結</strong></div>	<div class="examples">1. The outcome of the election surprised everyone.<br>2. Regular exercise will improve your health outcomes.<br>3. We're still waiting for the outcome of the investigation.</div>	<div class="etymology">語源：「out（外に）+ come（来る）」<br>「外に出てくるもの」→「結果」<br>何かの過程から「出て来る」最終的な結果</div>	claude-generated toefl rank3 enhanced
"I[!X1#aA6_"	<div class="word">hardy</div>	<div class='definition'><strong>丈夫な、頑強な、耐久性のある</strong></div>	<div class="examples">1. These hardy plants can survive extreme cold temperatures.<br>2. The hardy explorer ventured into the dangerous wilderness.<br>3. Hardy vegetables like cabbage grow well in winter.</div>	<div class="etymology">語源：古フランス語「hardi」（勇敢な）<br>「hard（固い）」から派生した形容詞<br>物理的・精神的両方の「強さ」を表現</div>	claude-generated toefl rank3 enhanced
