Front	JP訳	Label	説明
journal	日誌	語源／語根	jour（日）＋[ラテン] nal（記録）
justify	〜を正当化する	語法	justify one's action（行動を正当化する）【頻出】
legislate	法律を制定する	語源／語根	legis（法律）＋[ラテン] late（運ぶ）
levy	〜を課す	語法	levy a tax on（〜に税を課す）【頻出】
logical	論理的な	語源／語根	logic（論理）＋-al（形容）
manipulate	〜を操作する	語法	manipulate data（データを操作する）【頻出】
manual	手動の	語源／語根	manu（手）＋al（関係）
mature	成熟する	語源／語根	mat（成熟）＋ure（状態）
mediate	仲介する	語源／語根	medi（中間）＋ate（する）
methodology	方法論	語源／語根	method（方法）＋ology（学問）
minimize	〜を最小化する	語法	minimize the risk（リスクを最小化する）【頻出】
mutual	相互の	語源／語根	mutu（相互）＋al（形容）
negate	〜を否定する	語法	negate the effect（効果を否定する）【頻出】
norm	規範	語源／語根	norm（規範）
notion	概念	語源／語根	not（知る）＋ion（状態）
objective	客観的な	語源／語根	object（対象）＋ive（形容）
obtain	〜を得る	語法	obtain permission（許可を得る）【頻出】
occupy	〜を占める	語法	occupy a position（地位を占める）【頻出】
offset	〜を相殺する	語法	offset a loss（損失を相殺する）【頻出】
ongoing	進行中の	語源／語根	on（上）＋going（進む）
orient	〜を適応させる	語源／語根	dis（逆）＋[ラテン] oriens（東）
outcome	結果	語源／語根	out（外）＋[英] come（来る）
output	出力	語法	produce output（出力を生む）【頻出】
overall	全体的な	語法	overall view（全体像）【頻出】
overlap	重複する	語法	overlap with （〜と重複する）【頻出】
paradigm	模範	語源／語根	para（横）＋[ギリシャ] deigma（示す）
parameter	要因	語法	set parameters（要因を設定する）【頻出】
perceive	〜を知覚する	語法	perceive as（〜と見なす）【頻出】
persistent	粘り強い	語源／語根	per（通して）＋[ラテン] sistere（立つ）
perspective	視点	語法	from a perspective（視点から）【頻出】
phenomenon	現象	語源／語根	phaino（現れる）＋[ギリシャ] menon（もの）
phase	段階	語呂合わせ	「フェーズは段階のこと」
philosophy	哲学	語源／語根	philo（愛）＋[ギリシャ] sophia（知）
physical	物理的な	語法	physical condition（物理的状態）【頻出】
policy	政策	語源／語根	polis（都市）＋[ギリシャ] -cy（状態）
pose	〜を引き起こす	語法	pose a threat（脅威を引き起こす）【頻出】
practitioner	実務家	同義語	professional（専門家）
precede	〜に先行する	語法	precede by（〜に先行する）【頻出】
precise	正確な	語法	precise measurement（正確な測定）【頻出】
predominant	支配的な	語源／語根	pre（前）＋dominus（主）＋-ant（形）
preliminary	予備の	語源／語根	pre（前）＋[ラテン] limin（境界）＋-ary（関係の）
presume	〜と推定する	語源／語根	pre（前に）＋[ラテン] sumere（取る）＋-e
prime	主要な	同義語	main（主要な）
principal	主要な	紛らわしい語	principle（原則）
proceed	進む	語法	proceed with 〜（〜を進める）【頻出】
prohibit	〜を禁止する	語法	prohibit A from B（AがBするのを禁止する）【頻出】
prospect	見込み	同義語	outlook（見通し）
protocol	議定書	同義語	treaty（条約）
pursue	〜を追求する	語法	pursue a goal（目標を追求する）【頻出】
qualitative	質的な	語源／語根	qual（質）＋[ラテン] itative（性質の）
random	無作為の	語呂合わせ	「ランダムに選んで無作為に」
rational	合理的な	同義語	logical（論理的）
refine	〜を洗練する	語源／語根	re（再び）＋[ラテン] fin（終わり）＋-e
regime	政権	語源／語根	reg（支配）＋[ラテン] ime（状態）
reinforce	〜を強化する	同義語	strengthen（強化する）
relevant	関連のある	語法	relevant to 〜（〜に関連する）【頻出】
reluctant	気が進まない	同義語	unwilling（気が進まない）
rely	頼る	語法	rely on 〜（〜に頼る）【頻出】
reside	居住する	語呂合わせ	「レジで居住届けを出す」
resolve	〜を解決する	同義語	solve（解決する）
restore	〜を復元する	語法	restore A to B（AをBに戻す）【頻出】
restrain	〜を制止する	語法	restrain A from doing（Aが〜するのを抑える）【頻出】
retain	〜を保持する	語源／語根	re（再び）＋[ラテン] tenere（保つ）
reveal	〜を明らかにする	語法	reveal A to B（AをBに明かす）【頻出】
rigid	厳格な	同義語	inflexible（融通の利かない）
scenario	シナリオ	語源／語根	[イタリア] scena（場面）＋-rio（場所）
scheme	計画	紛らわしい語	scheme（陰謀）と混同注意
scope	範囲	同義語	range（範囲）
sector	部門	同義語	division（部門）
secure	〜を確保する	語源／語根	se（離れて）＋[ラテン] cura（心配）
segment	部分	同義語	section（部分）
sequence	順序	語源／語根	[ラテン] sequi（続く）＋-ence（状態）
simulate	〜を模擬する	語法	simulate A（Aを模倣する）【準頻出】
sole	単独の	同義語	only（唯一の）
source	情報源	同義語	origin（起源）
specify	〜を明示する	語法	specify that S V（SがVすることを明示する）【頻出】
sphere	領域	紛らわしい語	sphere（球体）と混同注意
stable	安定した	同義語	steady（安定した）
statistic	統計	同義語	data（データ）
straightforward	簡単な	同義語	simple（簡単）
strategy	戦略	語源／語根	strat（軍）＋-egy（術）
stress	圧力	語法	lay stress on（圧力をかける）【頻出】
subsequent	後の	語源／語根	sub（下）＋[ラテン] sequ（続く）＋-ent
substitute	代替する	語法	substitute A for B（Bの代わりにAを使う）【頻出】
successor	後継者	語源／語根	suc（続く）＋[ラテン] cess（行く）＋-or
sufficient	十分な	語源／語根	sub（下から）＋[ラテン] fic（作る）＋-ient
summary	概要	語源／語根	sum（合計）＋-ary（物）
supplement	補足する	語法	supplement A with B（AにBを補足する）【準頻出】
sustain	持続する	語法	sustain damage（被害を受ける）【頻出】
