Front	JP訳	Label	説明
ambush	待ち伏せ	語源／語根	am（周り）＋[フランス] busch（森）
bountiful	豊富な	同義語	plentiful（豊富な）
inhale	吸い込む	語法	inhale deeply（深く吸い込む）【頻出】
crane	ツル	紛らわしい語	cranium（頭蓋骨）
inflame	炎症を起こす	語法	inflame tensions（緊張を高める）【準頻出】
predecessor	前任者	語源／語根	pre（前）＋[ラテン] decessor（去る）
meager	乏しい	同義語	scanty（乏しい）
alternative	代替	語法	alternative to A（Aの代替）【頻出】
tripe	くだらないもの	同義語	nonsense（ナンセンス）
prawn	エビ	紛らわしい語	spawn（産卵する）
offset	相殺する	語法	offset the impact（影響を相殺する）【準頻出】
tan	日焼け	語法	get a tan（日焼けする）【準頻出】
temperate	穏やかな	同義語	moderate（穏やかな）
outcome	結果	語法	affect the outcome（結果に影響する）【頻出】
hardy	頑丈な	同義語	robust（頑丈）
attorney	弁護士	語源／語根	at（に向かって）＋[ラテン] tornare（回す）
placate	なだめる	同義語	appease（なだめる）
sea anemone	イソギンチャク	語呂合わせ	「海の中でアネモネを見る」
homogeneous	同質の	語源／語根	homo（同）＋[ギリシャ] gene（生）
unprecedented	前例のない	語源／語根	un（無）＋[ラテン] precedent（前例）
inundate	氾濫させる	語法	inundate with requests（要求であふれる）【準頻出】
taint	汚染する	同義語	contaminate（汚染する）
octopus	タコ	紛らわしい語	opus（作品）
monopoly	独占	語源／語根	mono（一）＋[ギリシャ] poly（売る）
strain	緊張	語法	put a strain on（負担をかける）【頻出】
blackout	停電	同義語	power outage（停電）
stimulant	刺激物	語源／語根	stimulus（刺激）＋-ant（物）
mercantile	商業の	語源／語根	merc（商）＋[ラテン] -antile（関係）
unique	唯一の	同義語	singular（唯一）
utopia	理想郷	語源／語根	u（無）＋[ギリシャ] topos（場所）
built-in	組み込みの	語法	built-in feature（内蔵機能）【準頻出】
strand	立ち往生させる	語法	strand a traveler（旅行者を困らせる）【まれ】
arsenal	兵器庫	語源／語根	ars（武器）＋[アラビア] nal（場所）
insolvent	破産した	語源／語根	in（無）＋[ラテン] solvent（解決する）
decree	法令	同義語	edict（布告）
impetus	推進力	同義語	motivation（動機）
precipitate	引き起こす	語法	precipitate a crisis（危機を招く）【準頻出】
intricate	複雑な	同義語	complicated（複雑）
admonish	戒める	語法	admonish for mistakes（ミスを戒める）【準頻出】
loquacious	おしゃべりな	語源／語根	loqu（話す）＋[ラテン] -acious（多い）
conviction	信念	同義語	belief（信念）
transplant	移植する	語法	transplant an organ（臓器を移植する）【頻出】
amity	友好	同義語	friendship（友情）
astronomical	天文学的な	語源／語根	astro（星）＋[ギリシャ] nomy（法則）
attrition	摩耗	同義語	erosion（浸食）
platypus	カモノハシ	紛らわしい語	octopus（タコ）
diffuse	拡散する	語法	diffuse light（光を拡散する）【準頻出】
intrinsically	本質的に	語法	intrinsically valuable（本質的に価値がある）【まれ】
attest	証明する	語法	attest to the fact（事実を証明する）【準頻出】
sanitation	衛生	同義語	hygiene（衛生）
fiscal	財政の	同義語	budgetary（予算の）
markedly	著しく	語法	marked change（著しい変化）【頻出】
expose	さらす	語法	expose to risk（リスクにさらす）【頻出】
overtime	残業	語法	work overtime（残業する）【頻出】
pasture	牧草地	同義語	meadow（草地）
plaintiff	原告	語源／語根	plaint（訴え）＋[フランス] -iff（者）
prescribe	処方する	語法	prescribe medication（薬を処方する）【頻出】
ail	苦しむ	語法	ail from illness（病気で苦しむ）【まれ】
posture	姿勢	語法	maintain a posture（姿勢を保つ）【準頻出】
verdict	評決	語源／語根	ver（真実）＋[ラテン] dict（言）
magnitude	大きさ	語法	magnitude of the problem（問題の大きさ）【頻出】
devoid	欠けている	語法	be devoid of emotion（感情が欠けている）【準頻出】
celebrated	有名な	同義語	famous（有名）
paralysis	麻痺	同義語	immobility（不動）
reputed	評判の	語法	be reputed to be（〜と評判である）【準頻出】
residue	残留物	同義語	remainder（残り）
retard	遅らせる	同義語	delay（遅らせる）
anchor	錨	同義語	mooring（係留）
pod	さや	同義語	husk（殻）
viable	実行可能な	同義語	feasible（実行可能）
remit	送金する	語法	remit payment（支払いを送金する）【準頻出】
fathom	理解する	語法	fathom the meaning（意味を理解する）【準頻出】
surge	急増	語法	surge in demand（需要の急増）【頻出】
conductive	伝導性の	語法	conductive material（伝導性材料）【準頻出】
chuckle	くすくす笑う	語法	let out a chuckle（くすくす笑う）【まれ】
sprinkle	振りかける	語法	sprinkle salt（塩を振りかける）【頻出】
domain	領域	同義語	realm（領域）
unfold	展開する	語法	unfold a map（地図を展開する）【準頻出】
solemn	厳粛な	同義語	serious（真面目）
transitory	一時的な	同義語	temporary（一時的）
liaison	連絡	同義語	communication（通信）
stern	厳しい	同義語	severe（厳しい）
impede	妨げる	同義語	obstruct（妨げる）
peripheral	周辺の	同義語	marginal（周辺の）
falcon	ハヤブサ	紛らわしい語	falconry（鷹狩り）
alloy	合金	同義語	mixture（混合物）
stroll	散歩する	語法	take a stroll（散歩をする）【準頻出】
refute	反論する	語法	refute an argument（議論に反論する）【準頻出】
intestine	腸	同義語	bowel（腸）
terminology	術語	同義語	vocabulary（語彙）
singular	単数の	同義語	unique（唯一）
expire	期限切れになる	語法	expire in a year（一年で期限切れになる）【準頻出】
monotonous	単調な	同義語	repetitive（反復的）
ingenious	巧妙な	同義語	inventive（発明的）
replenish	補充する	語法	replenish supplies（供給品を補充する）【準頻出】
matrix	基盤	同義語	framework（枠組み）
coach	コーチ	同義語	trainer（トレーナー）
kidney	腎臓	同義語	nephron（腎単位）
succinct	簡潔な	同義語	concise（簡潔）
poach	密猟する	語法	poach animals（動物を密猟する）【準頻出】
collapse	崩壊する	語源／語根	col（共に）＋[ラテン] laps（滑）＋-e
inscribe	刻む	語源／語根	in（中に）＋[ラテン] scrib（書）＋-e
hectic	興奮した	語源／語根	hect（忙しい）＋-ic
suppress	抑える	語源／語根	sub（下に）＋[ラテン] press（押）＋-
tentative	仮の	同義語	同義語 provisional（暫定的な）
archipelago	群島	語源／語根	arch（主な）＋[ギリシャ] pelago（海）
cascade	滝	語源／語根	cas（落ちる）＋[ラテン] cad（落）＋-e
authoritarian	権威主義の	語源／語根	author（権威）＋[ラテン] itarian（者）
mercy	慈悲	同義語	同義語 compassion（同情）
savory	風味のある	紛らわしい語	savoury（香ばしい）
continental shelf	大陸棚	語法	continental shelf（大陸棚）【頻出】
radioactive	放射性の	語源／語根	radio（放射）＋[ラテン] active（作用）
shoddy	粗悪な	語呂合わせ	語呂合わせ 「しょぼい品、粗悪なものだ」
erode	侵食する	語源／語根	e（外に）＋[ラテン] rod（かじる）＋-e
validate	有効にする	語源／語根	val（価値）＋[ラテン] idate（する）
tactics	戦術	語源／語根	tact（触）＋[ギリシャ] ics（学）
compelling	説得力のある	同義語	同義語 convincing（説得力のある）
profusely	豊富に	同義語	同義語 abundantly（豊富に）
cursory	大まかな	語呂合わせ	語呂合わせ 「カーソルで大まかに見る」
disperse	分散する	語源／語根	dis（離れて）＋[ラテン] sperse（散らす）
overturn	覆す	語源／語根	over（上に）＋[ラテン] turn（回す）
degrade	悪化させる	語源／語根	de（下に）＋[ラテン] grade（階級）
coexistence	共存	語源／語根	co（共に）＋[ラテン] exist（存在）＋ence
whirl	ぐるぐる回る	同義語	同義語 spin（回転）
proprietor	所有者	同義語	同義語 owner（所有者）
discerning	識別力のある	語源／語根	dis（分離）＋[ラテン] cern（見る）＋-ing
masonry	石工	語呂合わせ	語呂合わせ 「迷走に石工が必要」
jolt	揺さぶる	同義語	同義語 shake（揺さぶる）
mole	ほくろ	紛らわしい語	mall（ショッピングモール）
strive	努力する	同義語	同義語 endeavor（努力する）
dispatch	派遣する	語源／語根	dis（分離）＋[ラテン] patch（縫）
discourse	論説	語源／語根	dis（離れて）＋[ラテン] course（走る）
prose	散文	同義語	同義語 narrative（物語）
expertise	専門知識	語源／語根	expert（専門家）＋[ラテン] ise（化）
smash	粉砕する	同義語	同義語 crush（粉砕）
brand	商標	同義語	同義語 trademark（商標）
appraise	評価する	語源／語根	ap（向かって）＋[ラテン] praise（価値）
upright	直立した	同義語	同義語 vertical（垂直）
withdraw	撤退する	語法	withdraw from（〜から撤退する）【頻出】
congregate	集まる	語源／語根	con（共に）＋[ラテン] greg（群れ）＋ate
allure	魅了する	語源／語根	al（〜の方へ）＋[ラテン] lure（誘惑）
equity	公平	同義語	同義語 fairness（公平）
bristle	毛が逆立つ	語呂合わせ	語呂合わせ 「ブリッと毛が逆立つ」
fierce	激しい	同義語	同義語 intense（激しい）
leverage	てこの原理	語源／語根	lever（てこ）＋[ラテン] age（作用）
articulate	明瞭に話す	語源／語根	art（技）＋[ラテン] icul（小）＋ate
cardiac	心臓の	語源／語根	cardi（心臓）＋[ギリシャ] ac（の）
conspicuous	目立つ	語源／語根	con（共に）＋[ラテン] spic（見る）＋uous
materialism	物質主義	語源／語根	material（物質）＋[ラテン] ism（主義）
absolute	絶対的な	同義語	同義語 complete（完全）
imprison	投獄する	語源／語根	im（中に）＋[ラテン] prison（牢）
satire	風刺	同義語	同義語 parody（模倣）
salvation	救済	語源／語根	salv（救う）＋[ラテン] ation（こと）
commemorate	記念する	語源／語根	com（共に）＋[ラテン] memor（記憶）＋ate
merger	合併	同義語	同義語 amalgamation（合併）
problematic	問題の多い	同義語	同義語 troublesome（厄介な）
herald	予告する	同義語	同義語 announce（発表）
dew	露	同義語	同義語 moisture（湿気）
culminate	最高潮に達する	語源／語根	culm（頂点）＋[ラテン] inate（にする）
renounce	放棄する	語源／語根	re（後ろに）＋[ラテン] nounce（告げる）
surcharge	追加料金	語源／語根	sur（上に）＋[フランス] charge（料金）
lofty	高尚な	同義語	同義語 exalted（高貴な）
dune	砂丘	語源／語根	dun（砂）＋[フランス] e
scrutinize	精査する	語源／語根	scrutin（細かく見る）＋[ラテン] ize（する）
philanthropist	慈善家	語源／語根	phil（愛）＋[ギリシャ] anthro（人）＋pist
stoop	かがむ	同義語	同義語 bend（曲げる）
symmetry	対称	語源／語根	sym（共に）＋[ギリシャ] metry（測定）
archive	記録保管所	同義語	同義語 repository（保存場所）
detain	拘留する	語源／語根	de（離れて）＋[ラテン] tain（保つ）
disk	円盤	同義語	同義語 disc（円盤）
seclusion	隔離	語源／語根	se（離れて）＋[ラテン] clusion（閉じる）
aloft	上に	同義語	同義語 above（上）
tranquil	穏やかな	同義語	同義語 peaceful（平和）
shrewd	抜け目のない	同義語	同義語 astute（鋭い）
proposition	提案	語源／語根	pro（前に）＋[ラテン] pos（置く）＋ition
incite	煽る	語源／語根	in（中に）＋[ラテン] cite（呼ぶ）
reckless	無謀な	同義語	同義語 careless（不注意）
diverge	分岐する	語源／語根	di（離れて）＋[ラテン] verge（向かう）
lethal	致命的な	同義語	同義語 deadly（致命的）
margin	余白	同義語	同義語 border（境界）
potent	強力な	同義語	同義語 powerful（強力）
aggression	攻撃性	同義語	同義語 hostility（敵意）
fringe	縁	同義語	同義語 edge（端）
assassinate	暗殺する	語源／語根	assassin（暗殺者）＋[ラテン] ate（する）
intake	摂取量	同義語	同義語 consumption（消費）
epilogue	結末	語源／語根	epi（後）＋[ギリシャ] logue（話）
composure	冷静	同義語	同義語 calmness（落ち着き）
imaginative	想像力豊かな	同義語	同義語 creative（創造的）
insane	狂気の	語源／語根	in（否定）＋[ラテン] sane（健康）
levy	課税する	語源／語根	lev（持ち上げる）＋[ラテン] y（する）
mutter	ぼそぼそ言う	同義語	同義語 murmur（つぶやく）
desperate	絶望的な	同義語	同義語 hopeless（絶望的）
magnificent	壮大な	同義語	同義語 splendid（華麗）
inventory	在庫	同義語	同義語 stock（在庫）
scavenger	清掃動物	語源／語根	scavenge（清掃）＋[ラテン] er（者）
kindle	火をつける	語源／語根	kin（火）＋[古英語] dle（する）
uprising	反乱	同義語	同義語 rebellion（反乱）
reactor	原子炉	語源／語根	re（再び）＋[ラテン] act（行為）＋or
relic	遺物	同義語	同義語 artifact（工芸品）
tundra	ツンドラ	語源／語根	tund（氷原）＋[ロシア] ra
invoke	呼び起こす	語法	invoke a feeling（感情を呼び起こす）【準頻出】
meadow	牧草地	同義語	pasture（牧場）
thrive	繁栄する	語法	thrive on（〜で栄える）【頻出】
illuminate	照らす	語源／語根	in（中に）＋[ラテン] lumin（光）＋-ate（する）
pragmatic	実用的な	紛らわしい語	practical（実際的な）
deference	敬意	語源／語根	de（離れる）＋[ラテン] fer（運ぶ）＋-ence（状態）
pupa	さなぎ	語源／語根	pu（子供）＋-pa（状態）
disclose	明らかにする	語法	disclose information（情報を明かす）【頻出】
displace	置き換える	語法	displace a person（人を追い出す）【準頻出】
ominous	不吉な	同義語	foreboding（予感）
oscillate	揺れる	語法	oscillate between A and B（AとBの間で揺れる）【まれ】
symptom	症状	紛らわしい語	syndrome（症候群）
identity	身元	語源／語根	ident（同一）＋-ity（性質）
deputy	代理	紛らわしい語	deputize（代理を務める）
imaginary	想像上の	紛らわしい語	imaginative（創造的な）
agile	機敏な	同義語	nimble（軽快な）
wither	しおれる	語呂合わせ	「ウィズで花がしおれる」
projection	見積もり	語源／語根	pro（前に）＋[ラテン] ject（投げる）＋-ion（行為）
accompaniment	伴奏	語源／語根	ac（〜に）＋[ラテン] company（仲間）＋-ment（結果）
bolster	強化する	語法	bolster confidence（自信を強める）【準頻出】
blink	まばたきする	語法	blink rapidly（速くまばたきする）【まれ】
accumulate	蓄積する	語源／語根	ac（〜に）＋[ラテン] cumul（積み重ね）＋-ate（する）
appease	なだめる	同義語	pacify（鎮める）
cruel	残酷な	同義語	brutal（残忍）
unsteady	不安定な	同義語	unstable（不安定）
premise	前提	語源／語根	pre（前に）＋[ラテン] mittere（送る）
cosmic	宇宙の	語源／語根	cosmo（宇宙）＋-ic（の）
insolent	無礼な	同義語	impudent（厚かましい）
nostalgia	郷愁	語源／語根	nost（帰る）＋algos（痛み）＋-ia（状態）
abruptly	突然	語法	abruptly stop（突然止まる）【準頻出】
invert	逆にする	語源／語根	in（中に）＋[ラテン] vert（回す）
oblique	斜めの	同義語	slanting（傾斜した）
reconcile	和解する	語法	reconcile with（〜と和解する）【頻出】
coffin	棺	同義語	casket（棺）
lucrative	利益のある	同義語	profitable（有益）
prosecution	起訴	紛らわしい語	persecution（迫害）
infrastructure	基盤構造	語源／語根	infra（下）＋[ラテン] struct（組み立て）＋-ure（状態）
submerge	水没する	語源／語根	sub（下に）＋[ラテン] merge（浸す）
dividend	配当	紛らわしい語	divisor（除数）
endorse	支持する	語法	endorse a proposal（提案を支持する）【頻出】
confine	制限する	語法	confine A to B（AをBに限定する）【頻出】
personnel	人員	紛らわしい語	personal（個人的な）
linguistics	言語学	語源／語根	lingu（言語）＋-istics（学問）
indecisive	優柔不断な	同義語	hesitant（躊躇する）
ritual	儀式	同義語	ceremony（式典）
conceive	思いつく	語法	conceive an idea（アイデアを思いつく）【準頻出】
spur	促進する	語法	spur growth（成長を促進する）【準頻出】
wrath	激怒	同義語	anger（怒り）
obliterate	消し去る	語源／語根	ob（逆らって）＋[ラテン] liter（文字）＋-ate（する）
apathy	無関心	語源／語根	a（無）＋[ギリシャ] pathy（感情）
surpass	超える	語法	surpass expectations（期待を超える）【準頻出】
realm	領域	同義語	domain（領域）
intervene	介入する	語法	intervene in（〜に介入する）【頻出】
defiance	反抗	同義語	resistance（抵抗）
frail	もろい	同義語	fragile（壊れやすい）
deliberate	故意の	紛らわしい語	deliver（届ける）
leukemia	白血病	語呂合わせ	「ルーキー、白血病で苦しむ」
feudal	封建的な	語源／語根	feud（封土）＋-al（の）
municipal	市の	同義語	civic（市民の）
meddle	干渉する	語法	meddle in（〜に干渉する）【準頻出】
monarchy	君主制	語源／語根	mono（一つ）＋archy（支配）
turbulent	騒乱の	同義語	chaotic（混沌とした）
collective	集団の	同義語	communal（共同の）
prodigal	浪費する	紛らわしい語	prodigy（天才）
outset	始まり	語法	from the outset（最初から）【頻出】
pastime	娯楽	同義語	hobby（趣味）
soot	すす	語呂合わせ	「すっとすすがつく」
brittle	もろい	同義語	fragile（壊れやすい）
paddy field	水田	語呂合わせ	「パディの田んぼ」
lucid	明快な	同義語	clear（明確）
cradle	揺りかご	紛らわしい語	curdle（凝固する）
penetrate	貫通する	語法	penetrate a barrier（障害を貫通する）【頻出】
abide	従う	語法	abide by（〜に従う）【頻出】
compliance	順守	語源／語根	com（共に）＋pli（折る）＋-ance（状態）
converge	収束する	語法	converge on（〜に収束する）【準頻出】
solicit	勧誘する	語法	solicit donations（寄付を募る）【準頻出】
livelihood	生計	同義語	subsistence（生存）
decomposer	分解者	語源／語根	de（下に）＋com（共に）＋pose（置く）＋-er（者）
tangible	具体的な	紛らわしい語	tactile（触覚の）
distrust	不信	同義語	suspicion（疑念）
empirical	経験的な	同義語	practical（実際的な）
ambivalence	両価性	語源／語根	ambi（両方）＋val（価値）＋-ence（状態）
contempt	軽蔑	同義語	disdain（嫌悪）
console	慰める	紛らわしい語	consolidate（強化する）
volatile	揮発性の	同義語	unstable（不安定）
eccentric	風変わりな	同義語	odd（奇妙）
alleviate	軽減する	語法	alleviate pain（痛みを軽減する）【準頻出】
compound	複合	語源／語根	com（共に）＋pound（置く）
abuse	虐待する	語法	abuse a child（子供を虐待する）【頻出】
credulity	軽信	語源／語根	cred（信じる）＋-ulity（性質）
elapse	経過する	語法	time elapses（時間が経過する）【準頻出】
exile	追放	語法	in exile（亡命中で）【頻出】
placebo	偽薬	語源／語根	place（置く）＋bo（〜であろう）
addiction	依存	紛らわしい語	addition（追加）
distort	歪める	語法	distort facts（事実を歪める）【準頻出】
commence	開始する	語法	commence operations（作業を開始する）【頻出】
zealot	狂信者	同義語	fanatic（狂信者）
finesse	巧妙さ	同義語	dexterity（器用さ）
numb	麻痺した	同義語	unfeeling（無感覚）
conifer	針葉樹	語源／語根	coni（円錐）＋fer（運ぶ）
tractable	従順な	同義語	obedient（従順な）
instantaneously	瞬時に	語源／語根	in（中に）＋[ラテン] stant（立つ）＋-aneous（〜のような）
stalk	忍び寄る	語法	stalk prey （獲物に忍び寄る）【準頻出】
husbandry	農業	同義語	agriculture（農業）
retrieve	取り戻す	語法	retrieve data （データを取り戻す）【準頻出】
torture	拷問	紛らわしい語	torment（苦痛）
infringe	侵害する	語源／語根	in（中に）＋[ラテン] fring（打つ）＋-e（動詞化）
momentous	重大な	同義語	significant（重要な）
incur	被る	語法	incur a penalty （罰を受ける）【頻出】
grass roots	一般大衆	語法	grass roots movement（草の根運動）【準頻出】
affliction	苦痛	同義語	suffering（苦しみ）
extort	強要する	語源／語根	ex（外に）＋[ラテン] tort（ねじる）
tame	飼いならす	紛らわしい語	lame（不十分な）
consecutive	連続した	語法	consecutive days（連続した日）【頻出】
segregation	隔離	語源／語根	se（離れて）＋[ラテン] greg（群）＋-ation（状態）
heterogeneous	異質の	語源／語根	hetero（異なる）＋[ギリシャ] gen（生まれる）＋-eous（形容）
periphery	周辺	同義語	edge（端）
insecticide	殺虫剤	語源／語根	insect（昆虫）＋[ラテン] cide（殺す）
rebellion	反乱	同義語	uprising（反乱）
pupil	生徒	紛らわしい語	puppet（操り人形）
itinerary	旅行日程	語法	itinerary plan（旅行計画）【準頻出】
infallible	絶対確実な	語源／語根	in（否定）＋[ラテン] fall（間違う）＋-ible（可能な）
blatant	露骨な	同義語	obvious（明白な）
blanket	包括的な	語法	blanket ban（全面禁止）【頻出】
rugged	険しい	同義語	rough（粗い）
notoriety	悪評	同義語	disrepute（悪評）
infer	推測する	語法	infer from context（文脈から推測する）【頻出】
subordinate	従属する	語源／語根	sub（下）＋[ラテン] ordin（順序）＋-ate（動詞化）
Neptune	海王星	紛らわしい語	nautical（航海の）
impending	差し迫った	同義語	imminent（差し迫った）
oblivion	忘却	語源／語根	ob（逆らって）＋[ラテン] livi（滑る）＋-on（状態）
innate	生まれつきの	語源／語根	in（中に）＋[ラテン] nat（生まれる）＋-e（形容）
replica	複製	同義語	copy（コピー）
formidable	手ごわい	同義語	daunting（手ごわい）
luminous	光り輝く	語源／語根	lumin（光）＋[ラテン] ous（〜に満ちた）
communal	共同の	同義語	shared（共有の）
nuisance	迷惑	同義語	annoyance（不快）
incompatible	相容れない	語源／語根	in（否定）＋[ラテン] compat（共に）＋-ible（可能な）
ascertain	確認する	語法	ascertain facts（事実を確認する）【頻出】
gale	強風	同義語	windstorm（暴風）
lateral	側面の	同義語	side（側面）
miscellaneous	雑多な	語源／語根	miscell（混ぜる）＋[ラテン] aneous（〜のような）
rubble	がれき	同義語	debris（破片）
fluorescence	蛍光	語源／語根	fluor（流れる）＋[ラテン] escence（状態）
inception	始まり	同義語	beginning（始まり）
allotment	配分	同義語	distribution（分配）
conscience	良心	同義語	morality（道徳）
render	表現する	語法	render a decision（決定を下す）【頻出】
submissive	従順な	同義語	obedient（従順な）
outright	完全な	同義語	complete（完全な）
nominal	名目上の	同義語	titular（名ばかりの）
burden	重荷	同義語	load（荷）
superb	素晴らしい	同義語	excellent（優れた）
frugal	倹約的な	同義語	economical（経済的な）
dubious	疑わしい	同義語	skeptical（懐疑的な）
cardinal	基本的な	同義語	fundamental（基本的な）
detergent	洗剤	同義語	soap（石鹸）
tacit	暗黙の	同義語	implicit（暗黙の）
mucous membrane	粘膜	同義語	mucosa（粘膜）
grim	厳しい	同義語	harsh（厳しい）
catastrophe	大災害	同義語	disaster（災害）
invoice	請求書	同義語	bill（請求書）
barely	かろうじて	同義語	scarcely（ほとんど〜ない）
ardent	熱心な	同義語	enthusiastic（熱心な）
stake	賭け金	同義語	bet（賭け）
brand-new	真新しい	同義語	fresh（新しい）
resignation	辞職	同義語	quitting（辞めること）
jargon	専門用語	同義語	terminology（用語）
tornado	竜巻	同義語	twister（竜巻）
emancipate	解放する	語源／語根	e（外に）＋[ラテン] mancip（手に持つ）＋-ate（動詞化）
adverse	逆の	同義語	contrary（反対の）
affiliate	提携する	同義語	associate（関連付ける）
simultaneous	同時の	同義語	concurrent（同時の）
supreme	最高の	同義語	highest（最上の）
quarry	採石場	同義語	pit（穴）
counterpart	対応物	同義語	equivalent（同等のもの）
pasteurization	低温殺菌	語源／語根	pasteur（パスツール）＋[ラテン] ization（動作）
hay	干し草	同義語	fodder（飼料）
unearth	発掘する	語源／語根	un（否定）＋[英] earth（土）
relevancy	関連性	同義語	connection（関連）
runoff	流出	同義語	overflow（溢れ出る）
trim	刈り込む	同義語	clip（刈る）
sodium	ナトリウム	同義語	natrium（ナトリウム）
coherent	一貫した	同義語	consistent（一貫性のある）
oppression	抑圧	同義語	repression（抑制）
enmity	敵意	同義語	hostility（敵対）
bovine	ウシの	同義語	cattle（牛）
reclaim	再生する	同義語	recover（回復する）
apathetic	無関心な	同義語	indifferent（無関心）
asymmetric	非対称の	語源／語根	a（否定）＋[ギリシャ] sym（共に）＋metr（測る）
mitigate	和らげる	同義語	relieve（軽減する）
tribute	賛辞	同義語	praise（賞賛）
esteem	尊敬	同義語	respect（尊敬）
intrude	侵入する	語法	intrude on privacy（プライバシーを侵害する）【準頻出】
scan	ざっと見る	同義語	glance（ちらりと見る）
double helix	二重らせん	同義語	twisted ladder（ねじれたはしご）
forefather	祖先	同義語	ancestor（祖先）
glossary	用語集	同義語	lexicon（辞書）
elliptical	楕円の	同義語	oval（楕円形の）
deploy	配置する	同義語	organize（組織する）
whisker	ひげ	語呂合わせ	「ウィスキー片手にひげを撫でる」
coincide	一致する	語法	coincide with（〜と一致する）【準頻出】
setback	後退	語法	suffer a setback（後退を被る）【頻出】
affirmative	肯定の	語源／語根	ad（〜へ）＋[ラテン] firm（強）＋-ative（性質）
crescent	三日月	語源／語根	cresc（増）＋-ent（もの）
eulogy	賛辞	語源／語根	eu（良）＋[ギリシャ] log（言）＋-y（名詞）
sparrow	スズメ	語呂合わせ	「スズメがスパローと鳴く」
accordingly	それに応じて	語法	act accordingly（それに応じて行動する）【頻出】
tempt	誘惑する	語法	tempt someone to do（〜するよう誘惑する）【準頻出】
inoculation	予防接種	語源／語根	in（中に）＋[ラテン] ocul（芽）＋-ation（行為）
